SCHID,NAME,RC_CODE,School Name:,Organization Name:,Website:_1,Program Name:,Program Description:,Time,OST_CATEGORY,Grades Served:,PROG_PREK,PROG_ELEM,PROG_MIDDLE,SCHOOL_PREK,SCHOOL_ELEM,SCHOOL_MIDDLE,Program Areas:,Program Subareas:,Days of Operation:,Student Fees?,Explanation of Student Fees,Service Capacity
00350010,Haynes Early Education Center,101401,Haynes Early Education Center,4Star Dance Studio,4StarDanceStudio.com,4Star Dance Program,"As minority business women dedicated to the work we do, our extensive experience in education and your deep roots in the community, especially through your work with Boston Public Schools, speak volumes about your commitment to creating opportunities for young people. By establishing a pipeline to higher artistic schools, you've helped pave the way for many students to pursue advanced education in the arts, furthering their creative talents and academic achievements. This dedication to empowering the next generation through education and the arts is truly inspiring.",,NaN_INFERRED_OST,"'K2','1'",True,True,False,True,True,False,'Arts Programming','Dance',"'Tuesday','Friday'",No,,200.0
00350525,Albert D Holland School of Technology,101627,Albert D. Holland Highschool of Technology,826 Boston,www.826boston.org,Writers’ Rooms,"Located inside a Boston Public School, an 826 Boston’s Writers’ Room provides classroom support for writing assignments throughout the school day, in addition to holding after-school activities and clubs ranging from a slam poetry team to a student-run literary journal. Operating as a fully-staffed writing center based on the university model, 826 Boston staff and trained volunteers work directly with students to improve writing skills while at the same time practicing self-expression in a safe, creative space. The Writers' Room is also a hub for publishing, and students participating in publishing projects feel the pride of authorship that comes wiht publication.","School Day, Afterschool",CONFIRMED_OST,"'7','8','9','10','11','12'",False,False,True,False,False,True,"'Academic Support & Enrichment','Arts Programming'","'Literacy','Writing'","'Monday','Tuesday','Wednesday','Thursday'",No,"There are no student fees, but we do ask for a commitment of $10K a year from school partners toward the full cost of $125K annually that it takes to operate a Writers' Room. 826 Boston fundraises the difference.",750.0
00350507,Boston International High School & Newcomers Academy,101649,Boston International Newcomers Academy,826 Boston,www.826boston.org,Writers’ Rooms,"Located inside a Boston Public School, an 826 Boston’s Writers’ Room provides classroom support for writing assignments throughout the school day, in addition to holding after-school activities and clubs ranging from a slam poetry team to a student-run literary journal. Operating as a fully-staffed writing center based on the university model, 826 Boston staff and trained volunteers work directly with students to improve writing skills while at the same time practicing self-expression in a safe, creative space. The Writers' Room is also a hub for publishing, and students participating in publishing projects feel the pride of authorship that comes wiht publication.","School Day, Afterschool",CONFIRMED_OST,"'9','10','11','12'",False,False,False,False,False,False,"'Academic Support & Enrichment','Arts Programming'","'Literacy','Writing'","'Monday','Tuesday','Wednesday','Thursday'",No,"There are no student fees, but we do ask for a commitment of $10K a year from school partners toward the full cost of $125K annually that it takes to operate a Writers' Room. 826 Boston fundraises the difference.",500.0
00350012,Boston Teachers Union Elementary Pilot School,101266,Boston Teachers Union K-8 School,826 Boston,www.826boston.org,Writers’ Rooms,"Located inside a Boston Public School, an 826 Boston’s Writers’ Room provides classroom support for writing assignments throughout the school day, in addition to holding after-school activities and clubs ranging from a slam poetry team to a student-run literary journal. Operating as a fully-staffed writing center based on the university model, 826 Boston staff and trained volunteers work directly with students to improve writing skills while at the same time practicing self-expression in a safe, creative space. The Writers' Room is also a hub for publishing, and students participating in publishing projects feel the pride of authorship that comes wiht publication.","School Day, Afterschool",CONFIRMED_OST,"'K1','K2','1','2','3','4','5','6','7','8'",True,True,True,True,True,True,"'Academic Support & Enrichment','Arts Programming'","'Literacy','Writing'","'Monday','Tuesday','Wednesday','Thursday'",No,"There are no student fees, but we do ask for a commitment of $10K a year from school partners toward the full cost of $125K annually that it takes to operate a Writers' Room. 826 Boston fundraises the difference.",500.0
00350549,Margarita Muniz Academy,101667,Margarita Muñiz Academy,826 Boston,www.826boston.org,Writers’ Rooms,"Located inside a Boston Public School, an 826 Boston’s Writers’ Room provides classroom support for writing assignments throughout the school day, in addition to holding after-school activities and clubs ranging from a slam poetry team to a student-run literary journal. Operating as a fully-staffed writing center based on the university model, 826 Boston staff and trained volunteers work directly with students to improve writing skills while at the same time practicing self-expression in a safe, creative space. The Writers' Room is also a hub for publishing, and students participating in publishing projects feel the pride of authorship that comes wiht publication.","School Day, Afterschool",CONFIRMED_OST,"'7','8','9','10','11','12'",False,False,True,False,False,True,"'Academic Support & Enrichment','Arts Programming'","'Literacy','Writing'","'Monday','Tuesday','Wednesday','Thursday'",No,"There are no student fees, but we do ask for a commitment of $10K a year from school partners toward the full cost of $125K annually that it takes to operate a Writers' Room. 826 Boston fundraises the difference.",750.0
00350542,New Mission High School,101664,New Mission High School,826 Boston,www.826boston.org,Writers’ Rooms,"Located inside a Boston Public School, an 826 Boston’s Writers’ Room provides classroom support for writing assignments throughout the school day, in addition to holding after-school activities and clubs ranging from a slam poetry team to a student-run literary journal. Operating as a fully-staffed writing center based on the university model, 826 Boston staff and trained volunteers work directly with students to improve writing skills while at the same time practicing self-expression in a safe, creative space. The Writers' Room is also a hub for publishing, and students participating in publishing projects feel the pride of authorship that comes wiht publication.","School Day, Afterschool",CONFIRMED_OST,"'7','8','9','10','11','12'",False,False,True,False,False,True,"'Academic Support & Enrichment','Arts Programming'","'Literacy','Writing'","'Monday','Tuesday','Wednesday','Thursday'",No,"There are no student fees, but we do ask for a commitment of $10K a year from school partners toward the full cost of $125K annually that it takes to operate a Writers' Room. 826 Boston fundraises the difference.",750.0
00350575,O'Bryant School of Math & Science,101618,O'Bryant School of Mathematics and Science,826 Boston,www.826boston.org,Writers’ Rooms,"Located inside a Boston Public School, an 826 Boston’s Writers’ Room provides classroom support for writing assignments throughout the school day, in addition to holding after-school activities and clubs ranging from a slam poetry team to a student-run literary journal. Operating as a fully-staffed writing center based on the university model, 826 Boston staff and trained volunteers work directly with students to improve writing skills while at the same time practicing self-expression in a safe, creative space. The Writers' Room is also a hub for publishing, and students participating in publishing projects feel the pride of authorship that comes wiht publication.","School Day, Afterschool",CONFIRMED_OST,"'7','8','9','10','11','12'",False,False,True,False,False,True,"'Academic Support & Enrichment','Arts Programming'","'Literacy','Writing'","'Monday','Tuesday','Wednesday','Thursday'",No,"There are no student fees, but we do ask for a commitment of $10K a year from school partners toward the full cost of $125K annually that it takes to operate a Writers' Room. 826 Boston fundraises the difference.",750.0
00350266,Henderson K-12 Inclusion School Lower,101373,Henderson Inclusion School K-8,Abilities Dance,abilitiesdanceboston.org,Abilities Dance Class,"Abilities Dance Boston’s (ADB) Community Engagement Program brings fun, inclusive Adaptive Dance classes to schools to show that anyone can be a dancer!

In our classes, students start with a gentle warmup that includes breathing and a short check-in to connect mind and body. We move through a seated or standing ballet-inspired section with dance vocabulary, explore creative movement for the upper and lower body, and build short group dances and stories together. Students also get to see a performance by ADB’s professional company and share their thoughts in a class discussion.

Our classes focus on each student’s growth, creativity, and joy—not on perfect steps. Together, we build strength, flexibility, coordination, confidence, imagination, and teamwork skills—all while having fun!",,NaN_UNVERIFIED,"'K0','K1','K2','1','2'",True,True,False,True,True,False,,,"'Monday','Friday'",No,,117.0
00350565,Quincy Upper School,101551,Quincy Upper School,Abilities Dance,abilitiesdanceboston.org,Abilities Dance Class,"Abilities Dance Boston’s (ADB) Community Engagement Program brings fun, inclusive Adaptive Dance classes to schools to show that anyone can be a dancer!

In our classes, students start with a gentle warmup that includes breathing and a short check-in to connect mind and body. We move through a seated or standing ballet-inspired section with dance vocabulary, explore creative movement for the upper and lower body, and build short group dances and stories together. Students also get to see a performance by ADB’s professional company and share their thoughts in a class discussion.

Our classes focus on each student’s growth, creativity, and joy—not on perfect steps. Together, we build strength, flexibility, coordination, confidence, imagination, and teamwork skills—all while having fun!",,NaN_UNVERIFIED,"'6','7','8','9','10','11','12'",False,False,True,False,False,True,,,"'Monday','Tuesday','Wednesday','Thursday'",No,,28.0
00350227,Mather Elementary School,101348,Mather Elementary School,Academy of Dance and Choreography,dancewithbooksboston.blogspot.com,Dance with Books,"""Dance with Books"" is a Dance Education program for students in Grades K thru 2nd grade.  Dance books are used as a springboard for students to create and explore movements, learn dances from different countries, and practice movement skills:  balance, coordination, and control.  ""Dance with Books"" lessons were written by Sharon Shakur, MA, an expert in the field of Dance Education. ""Dance with Books"" lessons promote performing arts literacy: speaking, listening, and reading about Dance. 
",Afterschool,CONFIRMED_OST,"'K0','K1','K2','1','2'",True,True,False,True,True,True,'Arts Programming',,'Friday',Yes,"Parents pay $10.oo for each ""Dance with Books"" class that Ms. Shakur teaches.  These fees are waived for Parents who are unable to pay due to financial hardship conditions.  ",10.0
00350657,TechBoston Academy,101674,TechBoston Academy,Apprentice Learning,www.apprenticelearning.org,Apprenticeships,"Our apprenticeship program offers 8th grade students exposure to the culture of work through apprenticeships. As part of their school day, students at our partner schools receive 24 hours of programming over 12 weeks, which includes 6 weekly one-hour preparatory classes and 12-18 hours of a workplace-based apprenticeship. Preparatory classes help students identify their strengths and build a toolkit of communication and self-presentation techniques. Based on their interests, students are matched with a business partner where they spend 2-3 hours a week for six weeks. Students work alongside a mentor who assigns entry-level work tasks, supervises their work, and offers insight into his/her field of business and related careers. AL staff works with our business partners to create experiences that are developmentally appropriate and engaging for the students. To date, 306 students have completed apprenticeships.

Apprentices gain valuable skills, as well as the sense of ‘belonging’ to a professional community. Students apprentice individually or in small groups. AL staff visit each site during the apprenticeship to check in with employers and to observe students at work. As a result of participating in Apprentice Learning, students acquire knowledge and learn:
• Appropriate workplace behavior, language, dress, and mannerisms;
• Presentation and oral communication skills, and the ability to advocate for oneself;
• How to engage confidently with unfamiliar adults in unfamiliar settings; and
• How attendance, punctuality and persistence are essential to academic and career success. 

Our partner schools have included the apprenticeship program as part of students’ eighth grade graduation portfolios. Every student at our partner schools graduates with a resume in hand and intensive support in finding a summer job or enrichment program.

Participating organizations include engineering labs, hospitals, retail stores and non-profits. A partial list of worksite partners includes: Related Beal, Stantec, Boston Society of Architects, Loop Lab, Netsuite Oracle, Community Boatbuilding of Boston and others.",School Day,NOT_OST,'8',False,False,True,False,False,True,"'Academic Support & Enrichment','College, Career & Life Readiness'","'Identity Exploration','Job & Employment Preparation','Mentoring','Resume Development','Service-Learning','Work-based Learning'",'Wednesday',No,There are no fees for students to participate.,100.0
00350505,Brighton High School,101624,Brighton High School,Apprentice Learning,www.apprenticelearning.org,Apprenticeships,"Our apprenticeship program offers 8th grade students exposure to the culture of work through apprenticeships. As part of their school day, students at our partner schools receive 24 hours of programming over 12 weeks, which includes 6 weekly one-hour preparatory classes and 12-18 hours of a workplace-based apprenticeship. Preparatory classes help students identify their strengths and build a toolkit of communication and self-presentation techniques. Based on their interests, students are matched with a business partner where they spend 2-3 hours a week for six weeks. Students work alongside a mentor who assigns entry-level work tasks, supervises their work, and offers insight into his/her field of business and related careers. AL staff works with our business partners to create experiences that are developmentally appropriate and engaging for the students. To date, 306 students have completed apprenticeships.

Apprentices gain valuable skills, as well as the sense of ‘belonging’ to a professional community. Students apprentice individually or in small groups. AL staff visit each site during the apprenticeship to check in with employers and to observe students at work. As a result of participating in Apprentice Learning, students acquire knowledge and learn:
• Appropriate workplace behavior, language, dress, and mannerisms;
• Presentation and oral communication skills, and the ability to advocate for oneself;
• How to engage confidently with unfamiliar adults in unfamiliar settings; and
• How attendance, punctuality and persistence are essential to academic and career success. 

Our partner schools have included the apprenticeship program as part of students’ eighth grade graduation portfolios. Every student at our partner schools graduates with a resume in hand and intensive support in finding a summer job or enrichment program.

Participating organizations include engineering labs, hospitals, retail stores and non-profits. A partial list of worksite partners includes: Related Beal, Stantec, Boston Society of Architects, Loop Lab, Netsuite Oracle, Community Boatbuilding of Boston and others.",School Day,NOT_OST,'8',False,False,True,False,False,True,"'Academic Support & Enrichment','College, Career & Life Readiness'","'Identity Exploration','Job & Employment Preparation','Mentoring','Resume Development','Service-Learning','Work-based Learning'",'Monday',No,There are no fees for students to participate.,50.0
00350525,Albert D Holland School of Technology,101627,Albert D. Holland Highschool of Technology,Apprentice Learning,www.apprenticelearning.org,Apprenticeships,"Our apprenticeship program offers 8th grade students exposure to the culture of work through apprenticeships. As part of their school day, students at our partner schools receive 24 hours of programming over 12 weeks, which includes 6 weekly one-hour preparatory classes and 12-18 hours of a workplace-based apprenticeship. Preparatory classes help students identify their strengths and build a toolkit of communication and self-presentation techniques. Based on their interests, students are matched with a business partner where they spend 2-3 hours a week for six weeks. Students work alongside a mentor who assigns entry-level work tasks, supervises their work, and offers insight into his/her field of business and related careers. AL staff works with our business partners to create experiences that are developmentally appropriate and engaging for the students. To date, 306 students have completed apprenticeships.

Apprentices gain valuable skills, as well as the sense of ‘belonging’ to a professional community. Students apprentice individually or in small groups. AL staff visit each site during the apprenticeship to check in with employers and to observe students at work. As a result of participating in Apprentice Learning, students acquire knowledge and learn:
• Appropriate workplace behavior, language, dress, and mannerisms;
• Presentation and oral communication skills, and the ability to advocate for oneself;
• How to engage confidently with unfamiliar adults in unfamiliar settings; and
• How attendance, punctuality and persistence are essential to academic and career success. 

Our partner schools have included the apprenticeship program as part of students’ eighth grade graduation portfolios. Every student at our partner schools graduates with a resume in hand and intensive support in finding a summer job or enrichment program.

Participating organizations include engineering labs, hospitals, retail stores and non-profits. A partial list of worksite partners includes: Related Beal, Stantec, Boston Society of Architects, Loop Lab, Netsuite Oracle, Community Boatbuilding of Boston and others.",School Day,NOT_OST,'8',False,False,True,False,False,True,"'Academic Support & Enrichment','College, Career & Life Readiness'","'Identity Exploration','Job & Employment Preparation','Mentoring','Resume Development','Service-Learning','Work-based Learning'",'Tuesday',No,There are no fees for students to participate.,60.0
00350012,Boston Teachers Union Elementary Pilot School,101266,Boston Teachers Union K-8 School,Apprentice Learning,www.apprenticelearning.org,Apprenticeships,"Our apprenticeship program offers 8th grade students exposure to the culture of work through apprenticeships. As part of their school day, students at our partner schools receive 24 hours of programming over 12 weeks, which includes 6 weekly one-hour preparatory classes and 12-18 hours of a workplace-based apprenticeship. Preparatory classes help students identify their strengths and build a toolkit of communication and self-presentation techniques. Based on their interests, students are matched with a business partner where they spend 2-3 hours a week for six weeks. Students work alongside a mentor who assigns entry-level work tasks, supervises their work, and offers insight into his/her field of business and related careers. AL staff works with our business partners to create experiences that are developmentally appropriate and engaging for the students. To date, 306 students have completed apprenticeships.

Apprentices gain valuable skills, as well as the sense of ‘belonging’ to a professional community. Students apprentice individually or in small groups. AL staff visit each site during the apprenticeship to check in with employers and to observe students at work. As a result of participating in Apprentice Learning, students acquire knowledge and learn:
• Appropriate workplace behavior, language, dress, and mannerisms;
• Presentation and oral communication skills, and the ability to advocate for oneself;
• How to engage confidently with unfamiliar adults in unfamiliar settings; and
• How attendance, punctuality and persistence are essential to academic and career success. 

Our partner schools have included the apprenticeship program as part of students’ eighth grade graduation portfolios. Every student at our partner schools graduates with a resume in hand and intensive support in finding a summer job or enrichment program.

Participating organizations include engineering labs, hospitals, retail stores and non-profits. A partial list of worksite partners includes: Related Beal, Stantec, Boston Society of Architects, Loop Lab, Netsuite Oracle, Community Boatbuilding of Boston and others.",School Day,NOT_OST,'8',False,False,True,True,True,True,"'Academic Support & Enrichment','College, Career & Life Readiness'","'Identity Exploration','Job & Employment Preparation','Mentoring','Resume Development','Service-Learning','Work-based Learning'",'Tuesday',No,There are no fees for students to participate.,50.0
